"wl","lw","mw","sw"
634,0.002947757,0.000502065,0
635,0.002829076,0.000469249,0
636,0.002714114,0.000438428,0
637,0.002602984,0.000409414,0
638,0.002495788,0.000382021,0
639,0.002392579,0.000356092,0
640,0.002293399,0.000331498,0
641,0.002198103,0.000308181,0
642,0.002105895,0.00028627,0
643,0.002015983,0.000265893,0
644,0.001927667,0.00024712,0
645,0.001840387,0.000229981,0
646,0.001753866,0.000214421,0
647,0.001668553,0.000200175,0
648,0.001585009,0.000186983,0
649,0.001503682,0.000174629,0
650,0.00142497,0.000162942,0
651,0.001349149,0.000151808,0
652,0.001276339,0.000141231,0
653,0.001206601,0.000131229,0
654,0.001139961,0.000121814,0
655,0.001076435,0.000113,0
656,0.001015991,0.000105,0
657,0.000958497,9.7e-05,0
658,0.000903842,8.99e-05,0
659,0.000851903,8.32e-05,0
660,0.000802553,7.7e-05,0
661,0.000755684,7.13e-05,0
662,0.000711203,6.6e-05,0
663,0.000669016,6.11e-05,0
664,0.000629031,5.66e-05,0
665,0.00059116,5.24e-05,0
666,0.00055531,4.87e-05,0
667,0.000521389,4.52e-05,0
668,0.000489303,4.2e-05,0
669,0.000458963,3.9e-05,0
670,0.000430285,3.62e-05,0
671,0.000403188,3.37e-05,0
672,0.000377595,3.13e-05,0
673,0.000353431,2.91e-05,0
674,0.000330626,2.7e-05,0
675,0.000309112,2.51e-05,0
676,0.000288828,2.33e-05,0
677,0.000269722,2.16e-05,0
678,0.000251746,2.01e-05,0
679,0.000234853,1.86e-05,0
680,0.000218991,1.73e-05,0
681,0.000204107,1.6e-05,0
682,0.000190124,1.49e-05,0
683,0.00017697,1.38e-05,0
684,0.000164582,1.28e-05,0
685,0.000152903,1.18e-05,0
686,0.000141902,1.09e-05,0
687,0.000131598,1.01e-05,0
688,0.000122015,9.37e-06,0
689,0.000113156,8.67e-06,0
690,0.000105,8.03e-06,0
691,9.76e-05,7.44e-06,0
692,9.07e-05,6.91e-06,0
693,8.44e-05,6.42e-06,0
694,7.85e-05,5.96e-06,0
695,7.31e-05,5.54e-06,0
696,6.8e-05,5.15e-06,0
697,6.33e-05,4.79e-06,0
698,5.88e-05,4.46e-06,0
699,5.47e-05,4.14e-06,0
700,5.09e-05,3.85e-06,0
